typed	code	subcode
no dung beetle	beetle	dung
no i didn't	~	~
no they're not i think they're not vertebrates	~	~
nocturnal 	~	~
normal fox	fox	~
not factual i think	~	~
not sure	~	~
not sure on spellings there	~	~
not technically animal i believe	~	~
nurse shark	shark	nurse
octopus	octopus	~
octupus	octopus	~
oh goodness i know so many animals it's insane. i studied biology!!!	~	~
oh my	~	~
oh, it's dead but the dodo?	dodo	~
oh, ok, sure!	~	~
ok then	~	~
okapi	okapi	~
okay i get you	~	~
on farms you will find cows	cow	~
oooh	~	~
opossum	opossum	~
opposum	opossum	~
or did u say cow	cow	~
or lizards, whichever you prefer!	lizard	~
orangatan	orangutan	~
orangatans 	orangutan	~
orangatun	orangutan	~
orangutan	orangutan	~
orangutang	orangutan	~
orca	orca	~
orca whale	orca	~
osterich	ostrich	~
ostrich	ostrich	~
other animals in the zoo include:	~	~
other rodent like creatures	rodent	~
otter	otter	~
owl	owl	~
owls	owl	~
ox	ox	~
oyster	oyster	~
panda	panda	~
panda bear	panda	~
pandas	panda	~
pangolin	anteater	pangolin
panther	panther	~
panthers,	panther	~
parakeet	parakeet	~
paranas	piranha	~
parrot	parrot	~
parrots	parrot	~
passerine	bird	passerine
peacock	peacock	~
peacocks	peacock	~
pelican	pelican	~
pelicans	pelican	~
penguin	penguin	~
penguins	penguin	~
pets	~	~
pheasant	pheasant	~
pheonix	dragon	phoenix
pi	~	~
pidgeon	pigeon	~
pidgeon 	pigeon	~
pig	pig	~
pig 	pig	~
pigeon	pigeon	~
pigeons	pigeon	~
pigoens	pigeon	~
pigs	pig	~
pine martin	bird	pinemartin
pinguins	penguin	~
piranha	piranha	~
pirhana	piranha	~
pirhanha	piranha	~
plaice	fish	plaice
platypus	platypus	~
plenty of those around qm campus	~	~
pnather	panther	~
pny	pony	~
poaching	~	~
polar  bear	polarbear	~
polar bear	polarbear	~
polar bears	polarbear	~
pollychaetes	worm	polychaetes
ponies	pony	~
pony	pony	~
porcupine	porcupine	~
porpoise	porpoise	~
porpoises	porpoise	~
possom	possum	~
pot belly pig	potbelliedpig	~
prawn	prawn	~
prawns	prawn	~
praying mantis	prayingmantis	~
proboscis monkey	monkey	proboscis
puffin	puffin	~
puma	puma	~
puppy	dog	~
pygmy hedgehog	hedgehog	pygmy
pygmy marmoset	marmoset	pygmy
python	python	~
quail	quail	~
rabbit	rabbit	~
rabbit, rat	rabbit/rat	~
rabbits	rabbit	~
rabies	~	~
raccoon	raccoon	~
racoon	raccoon	~
racoons	raccoon	~
raindeer	reindeer	~
ram	ram	~
raptor	raptor	~
rat	rat	~
rats	rat	~
rattle snake	rattlesnake	~
rattle snale	rattlesnake	~
rattlesnake	rattlesnake	~
raven	raven	~
ravens	raven	~
red deer	deer	red
red fox	fox	red
red kite	kite	red
red panda	panda	red
red squirrel	squirrel	red
red wolf	wolf	red
regent canal swans	swan	~
regularly	~	~
reindeer	reindeer	~
reindeer!	reindeer	~
reptiles	reptile	~
reptiles...	reptile	~
reticulated python	python	reticulated
rhino	rhino	~
rhinosaurous	rhino	~
rhinosaurus	rhino	~
right then.	~	~
rinosorous	rhino	~
roadrunner	roadrunner	~
roaster	rooster	~
robin	robin	~
roe	deer	roe
roe deer	deer	roe
rooster	rooster	~
rufus	~	~
s...	~	~
sabertooth tiger	tiger	sabertooth
sabre tooth	tiger	sabertooth
said that ya monkey	monkey	~
salamander	salamander	~
salmon	salmon	~
same with bear	bear	~
same with sparrow	sparrow	~
sandshrew	shrew	~
saw in the zoo the other day	~	~
scales	~	~
scampi	~	~
scarab beetle	beetle	scarab
scorpion	scorpion	~
scorpions	scorpion	~
sea animals- such as star fish, sea horses, fishs, sharks, whales	starfish/seahorse/fish/shark/whale	~
sea cow	manatee	~
sea horse	seahorse	~
sea lion	sealion	~
sea turtle	turtle	~
sea-faring mammals	mammal	~
seagul	seagull	~
seagull	seagull	~
seaguls	seagull	~
seahorse	seahorse	~
seahorses	seahorse	~
seal	seal	~
seals	seal	~
seasl	seal	~
semibalanus balanoidies	crab	semibalanusbalanoidies
shark	shark	~
sharks	shark	~
sharp teeth	~	~
sheep	sheep	~
sheep goat	sheep/goat	~
shell	~	~
shellfish	mussel	~
sheper	sheep	~
shetland pony	pony	shetland
shrew	shrew	~
shrews	shrew	~
shrimp	shrimp	~
shrimps	shrimp	~
siamese fighting fish	betta	~
siberian tiger	tiger	siberian
silverback gorilla	gorilla	silverback
skunk	skunk	~
sloth	sloth	~
slow loris	loris	slow
slug	slug	~
slugs 	slug	~
small	~	~
small 	~	~
snail	snail	~
snails	snail	~
snake	snake	~
snake 	snake	~
snake - or are reptiles separate?  do you mean mammals?	snake	~
snakee	snake	~
snakes	snake	~
snakw	snake	~
snow leopard	snowleopard	~
so africa	~	~
so houshold pets include	~	~
so no	~	~
sole	fish	sole
some can grow back body parts like worms 	worm	~
some larger animals are invertebrates	~	~
some lay eggs	~	~
some people keep horses and donkeys, although not usually indoors.	horse/donkey	~
songbird	songbird	~
sorry	~	~
sparrow	sparrow	~
sparrowhawk	hawk	sparrowhawk
sparrows	sparrow	~
specific animals like goldfish, or categories like fish?	goldfish	~
sperm whale	whale	sperm
sperm whalee	whale	sperm
sphinx	~	~
sphinx?	~	~
spider	spider	~
spider monkey	spidermonkey	~
spider monkey 	spidermonkey	~
spider monkey (have you said that)	spidermonkey	~
spiders	spider	~
spiky things	~	~
spines	~	~
spitting cobra	cobra	~
sponges	sponge	~
spotty 	~	~
squid	squid	~
squirel	squirrel	~
squirell	squirrel	~
squirrel	squirrel	~
squirrell	squirrel	~
squirrels	squirrel	~
stallion	horse	~
starfish	starfish	~
starfish?	starfish	~
steak	~	~
steak?	~	~
stellar's jay	jay	stellars
sting ray	stingray	~
stoat	stoat	~
stop being silly cr	~	~
stout	stoat	~
stripy	~	~
sun fish	fish	sun
surely?	~	~
swallow	swallow	~
swan	swan	~
swans	swan	~
sword fish	swordfish	~
swordfish	swordfish	~
tadpole	tadpole	~
tails	~	~
tapir	tapir	~
tarantula	tarantula	~
tarantulas	tarantula	~
taratantula	tarantula	~
tartigrades!	shrimp	tardigrade
tazmanian devil	tasmaniandevil	~
teddy bears	bear	~
terantula	tarantula	~
termite	termite	~
termites	termite	~
terrapin	turtle	terrapin
text	~	~
that is an amphibian	amphibian	~
that'll be a sight	~	~
that's how i see it	~	~
that's in the category animals	~	~
the other big bird...erm...	bird	~
the way i find it easy to rememebr animals togther are from movies e.g madagascar- thers a lion, girrafe, zebra, hipopotamus(sp), penguins, monkeys	lion/giraffe/zebra/hippopotamus/penguin/monkey	~
theere we go	~	~
then wilder animals that you might find in the zoo include	~	~
theres a cartoon on one	~	~
there's a couple!	~	~
theres rhinos	rhino	~
things like fur, scales etc would they count?	~	~
think antartica	~	~
think of monkeys	monkey	~
think pest	~	~
thompsons gazelle	gazelle	thompsons
those monkeys with the human faces	monkey	~
thy are animals	~	~
tiger	tiger	~
tigers	tiger	~
tigon	liger	tiglon
tit	bird	tit
toad	toad	~
toads	toad	~
tortoise	tortoise	~
tortoise, turtles	tortoise/turtle	~
toucans	toucan	~
tprawn	prawn	~
tree frog	treefrog	~
t-rex	dinosaur	trex
trout	trout	~
trout, tuna	trout/tuna	~
trunks 	~	~
try the other aussie ones.	~	~
tuatara	lizard	tuatara
tucan	toucan	~
tuna	tuna	~
tunaaaa	tuna	~
turkey	turkey	~
turtle	turtle	~
turtles	turtle	~
tyrannosaurus rex	dinosaur	trex
u said that	~	~
ultimate shrew	shrew	~
umm	~	~
unicorn	unicorn	~
unicorns	unicorn	~
united kingdom	~	~
urchin	urchin	~
v.lion king related	lion	~
v.nice	~	~
vampire bat	bat	vampire
vertebrates	~	~
vervet monkeyys	monkey	vervet
vervet monkeyys :d	monkey	vervet
viper	viper	~
vole	vole	~
vulpines	fox	~
vulture	vulture	~
wait i think i know	~	~
walaby	wallaby	~
walking around inca trail	~	~
walrus	walrus	~
walrus and yes okapi	walrus/okapi	~
warm blooded 	~	~
wart hog	warthog	~
warthog	warthog	~
warthog - timon and pumba!	warthog	~
was jus about to correct myself	~	~
wasp	wasp	~
water dragon	lizard	waterdragon
waterflea	shrimp	waterflea
we exhibit animalistic tendacies	~	~
we learnt about them in scotland hahahaha theyre birds	bird	~
weasel	weasel	~
well  u know what i'm talking about	~	~
whale	whale	~
whale sharks	whaleshark	~
whales	whale	~
whales, dolphins, seals, penguins	whale/dolphin/seal/penguin	~
whart hog	warthog	~
what are the ones like hamsters and rats...	hamster/rat	~
what are those things called you see in peru	~	~
what else	~	~
what is tha	~	~
whats a passerine	bird	passerine
what's that?	~	~
whats the thing when a horse and a donkey mate	horse/donkey	~
whats those that smell	~	~
whatt	~	~
white rino	rhino	white
white shark	greatwhiteshark	~
wild boar	wildboar	~
wild dog	wilddog	~
wild dogs	wilddog	~
wildcat	wildcat	~
wildebeast	wildebeest	~
wilderbeast	wildebeest	~
windhound	dog	windhound
winged squirrel	flyingsquirrel	~
wolf	wolf	~
wolfs	wolf	~
wolverine	wolverine	~
wolves	wolf	~
woodlouse	louse	woodlouse
woof	wolf	~
wooooahhh	~	~
wooopecker	woodpecker	~
worm	worm	~
worms	worm	~
worms 	worm	~
wtf	~	~
wurms	worm	~
yack	yak	~
yak	yak	~
yeah	~	~
yeah!	~	~
yeah, i don't know many of these!	~	~
yeah, i think so.	~	~
yeah.	~	~
yeh they have good cheeks.	~	~
yep	~	~
yes	~	~
yes i know	~	~
yes you have	~	~
yo	~	~
you do mammals!	mammal	~
you don't	~	~
you know there are evil hamsters	hamster	~
you should read flowers for algernon	~	~
zebra	zebra	~
zebras	zebra	~
zebras, 	zebra	~
zebu	zebu	~
zeebra	zebra	~
zooplankton	jellyfish	zooplankton
zooplankton adn so on?	jellyfish	zooplankton
	~	~
